ILN	ELN	Name der Einrichtung	ISIL
0034	3551/0005	HAW Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Design Medien Information 	DE-18-285
0034	3551/0007	HAW Hamburg, Hochschulinformations- und Bibliotheksservice , (HIBS), Fachbibliothek Soziale Arbeit und Pflege 	DE-18-287
0039	0547	Universitätsbibliothek Erfurt / Forschungsbibliothek Gotha, Universitätsbibliothek Erfurt 	DE-547
0039	0547/0039	Forschungsbibliothek Gotha	 DE-39
0040	0007	Niedersächsische Staats- und Universitätsbibliothek Göttingen und Universität Göttingen	 DE-7
0040	0007/0001	SUB Göttingen,  Institut für Organische und Biomolekulare Chemie (IOBC)	DE-7-001
0040	0007/0003	Göttingen Mathematisches Institut	DE-7-003
0040	0007/0006	Universität Göttingen, Georg-Elias-Müller-Institut für Psychologie, Bibliothek  	DE-7-006
0040	0007/0011	SUB Göttingen, Zentrum Physiologie und Pathophysiologie, Zentrum Biochemie und Molekulare Zellbiologie, Bibliothek	DE-7-011
0040	0007/0037	Universität Göttingen, Zentralbibliotheken der Juristischen Fakultät	DE-7-037
0040	0007/0041	Universität Göttingen, Institut für Völkerrecht und Europarecht, Bibliothek 	DE-7-041
0040	0007/0042	Universität Göttingen, Vereinigte Theologische Seminare, Bibliothek	DE-7-042
0040	0007/0050	Universität Göttingen, Pädagogisches Seminar, Bibliothek	DE-7-050
0040	0007/0118	Universität Göttingen, Institut für Landwirtschaftsrecht, Bibliothek 	DE-7-118 
0040	0007/0155	Universität Göttingen, Institut für Römisches Recht und Gemeines Recht, Bibliothek 	DE-7-155 
0040	0007/0160	Universität Göttingen, Bibliothek Waldweg 	DE-7-160
0040	0007/0196	Universität Göttingen, Geologie 	
0040	0007/0200	Universität Göttingen, Institut für Arbeitsrecht, Bibliothek 	DE-7-200
0040	0007/0201	Universität Göttingen, Institut für Allgemeine Staatslehre und Politische Wissenschaften an der Juristischen Fakultät, Bibliothek 	DE-7-201
0040	0007/0730	Universität Göttingen, Zentrum Interdisziplinäre Einrichtungen, Abteilung Medizinische Informatik, Handbibliothek	DE-7-730
