ILN	ELN	Name der Einrichtung	ISIL
0754	3754	Max-Planck-Institut für Bildungsforschung, Berlin	DE-B1532
0755	3206	Nordthüringische Kirchenbibliothek	--
0756	2783	Diözesanbibliothek Osnabrück	DE-2783
0758	4758	Leibniz-Institut für Medienforschung Hans-Bredow-Institut Hamburg	DE-18-174
0788	4788	Niedersächsisches Landesmuseum, Hannover	DE-Hv122a
0789	3418	Zentralklinik, Bad Berka 	DE-Wim11
0791	3791	Dombibliothek Hildesheim	DE-Hil6
0803	4803	Schleswig-Holstein Bibliographie	
0804	2474	Fachhochschule  Clara Hoffbauer, Potsdam	DE-2474
0807	3807	Reformgeschichtliche Forschungsbibliothek, Wittenberg	DE-Wb1
0808	4808	University of Europe for Applied Sciences, Hamburg / Berlin / Iserlohn	
0808	4808/0001	University of Europe for Applied Sciences, Hamburg	DE-2567
0808	4808/0002	University of Europe for Applied Sciences, Berlin	DE-1913
0808	4808/0003	University of Europe for Applied Sciences, Iserlohn	DE-1817
0809	4809	Bibliothek Homo Ludens Hamburg	
0810	4810	Hochschule für Musik Hanns Eisler, Berlin	DE-B464
0811	4811	FH für Verwaltung und Dienstleistung, Altenholz / Reinfeld	
0811	4811/0001	FH für Verwaltung und Dienstleistung, Standort Altenholz	DE-Alz1
0811	4811/0002	FH für Verwaltung und Dienstleistung, Standort Reinfeld	DE-Alz1-1
0812	4812	Hildesheim, Stadtarchiv Hildesheim : Archiv- und Museumsbibliotheken	
0812	4812/0001	Stadt Hildesheim : Roemer- und Pelizaeus-Museum - Bibliothek	DE-Hil1
0812	4812/0002	Stadt Hildesheim : Stadtarchiv - Bibliothek	DE-Hil7
0813	4813	Diözesanbibliothek Münster	DE-Mue73
0814	4814	Leibniz-Institut für Gewässerökologie und Binnenschifffahrt, Berlin	--
0815	3815	Landtag Schleswig-Holstein	DE-4186
0885	3885	Historische Bibliotheken Mecklenburg-Vorpommern	
0885	3885/0001	Sammlungen der Regionalbibliothek Neubrandenburg	
0885	3885/0002	Historische Bibliothek Güstrow	DE-2161
0885	3885/0003	Kirchenbibliothek St. Marien Barth	DE-2573
0885	3885/0004	Bibliothek des Geistlichen Ministeriums, Greifswald	
902	4902	Kammergericht Berlin	DE-B177
1003	5003	Landkreis Rotenburg Wümme	
1003	5003/0001	Kreisarchäologie Rotenburg 	DE-MUS-125322
1003	5003/0002	Kreisarchiv Bremervörde 	DE-Brv1
1003	5003/0003	Kreisarchiv Nebenstelle Rotenburg	
1003	5003/0005	Stiftung Lager Sandbostel - Gedenkstätte Lager Sandbostel 	DE-MUS-788012
1005	5005	Fürst zu Stolberg Wernigerode	--
1008	4008	Museum Rammelsberg	DE-MUS-304812
1009	4009	Theater Figuren Museum, Lübeck	DE-MUS-233512
1011	4011	Türkisches Kulturzentrum, Berlin	DE-2361
1012	4012	Mariengymnasium Jever	DE-Je1
1014	4014	Europäisches Hansemuseum, Lübeck	DE-MUS-104721
1015	4015	Verein Hamburgische Geschichte	DE-H30
1016	0198	Regionalbibliothek Neubrandenburg	DE-198
1017	4017	Kreisarchiv Stormarn	DE-2410
1018	4018	Stadtarchiv Bremerhaven	DE-Bv4
1019	4019	Nds. Institut für Sportgeschichte, Hannover	--
1020	5020	Historische Bibliothek Domgymnasium, Verden	--
1021	4021	Institut für Hochschulforschung (HoF) an der Martin-Luther-Universität	DE-B2044
1022	4022	Kreisarchiv Verden	DE-2925
1023	4023	Rosa-Luxemburg-Stiftung	DE-B1599
1025	4025	Francisceumsbibliothek, Zerbst	De-Ze1
1026	4126	Bibliothek der Kapuziner, Münster	DE-Mue78
1027	4027	Oldenburgische Landschaft	--
1028	4028	Bibliothek des Evangelischen Ministeriums im Augustinerkloster, Erfurt	DE-Ef27
1030	4030	Ev. Kirche Mitteldeutschland, Eisenach	--
1031	4031	Bauhausarchiv Museum für Gestaltung, Berlin	DE-B1575
1032	4032	Stiftung Berliner Leben -Martha Cooper Library, Berlin	DE-3070
1033	4033	Museum Lüneburg	DE-MUS-089518
1034	4034	Europäische Bibliothek für Homöopathie, Köthen	DE-Kt5
1035	4035	Stiftung Hamburg Maritim	DE-4188
1037	4037	Emsland Moormuseum e. V., Geeste / Groß Hesepe	 
1115	5115	Casa di Goethe, Rom	IT-RM-1328
1118	4118	Heimat und Geschichtsverein, Buxtehude	--
1119	4119	Hans Arnhold Center Library and Archive, American Academy, Berlin	DE-4047
1120	4120	Historische Bibliothek Christianeum Hamburg	DE-H188
1121	4121	Landesarchiv Sachsen-Anhalt, Abteilung Dessau-Roßlau	DE-De19
1121	4121	Landesarchiv Sachsen-Anhalt, Abteilung Magdeburg	DE-Ma25
1121	4121	Landesarchiv Sachsen-Anhalt, Abteilung Wernigerode	De-We17
2001	TUUB	Universitätsbibliothek Tübingen	DE-21
2002	TUUBBA	Universität Tübingen, Fakultät für Biologie, Bibliothek	DE-21-112
2002	TUUBEC	Universität Tübingen, Evangelisch-theologische Fakultät	DE-21-31
2002	TUUBGC	Universität Tübingen, Historisches Seminar, Abteilung für Alte Geschichte 	DE-21-32a
2002	TUUBGD	Universität Tübingen, Historisches Seminar, Abteilung für Mittelalterliche Geschichte	DE-21-32b
2002	TUUBGE	Universität Tübingen, Historisches Seminar, Abteilung für Neuere Geschichte	DE-21-32c
2002	TUUBGF	Universität Tübingen, Seminar für Zeitgeschichte	DE-21-106
2002	TUUBGG	Universität Tübingen, Institut für Osteuropäische Geschichte und Landeskunde	DE-21-62
2002	TUUBGH	Universität Tübingen, Institut für Geschichtliche Landeskunde und Historische Hilfswissenschaften	DE-21-64
2002	TUUBJK	Universität Tübingen, Instiut f. Medizinische Virologie und Epidemiologie d. Viruskrankheiten	DE-21-124
2002	TUUBKC	Universität Tübingen, Katholisch-theologische Fakultät	DE-21-35
2002	TUUBLA	Universität Tübingen, Medizinbibliothek	DE-21-123
2002	TUUBLC	Universität Tübingen, Universitäts-Augenklinik	DE-21-4
2002	TUUBLH	Universität Tübingen, Universitäts-Hals-Nasen-Ohrenklinik, Bibliothek	DE-21-21
2002	TUUBLO	Universität Tübingen, Klinik für Psychiatrie und Psychotherapie	DE-21-1
2002	TUUBLS	Universität Tübingen, Universitätsklinik für Zahn-, Mund- und Kieferheilkunde	DE-21-54
2002	TUUBMA	Universität Tübingen, Fachbibliothek Mathematik und Physik / Bereich Mathematik	DE-21-39
2002	TUUBNP	Universität Tübingen, Fakultätsbibliothek Neuphilologie	DE-21-108
2002	TUUBOD	Universität Tübingen, Geographisches Institut	DE-21-17
2002	TUUBOF	Universität Tübingen, Institut für Ur- und Frühgeschichte und Archäologie des Mittelalters, Abteilung für Ältere Urgeschichte und Quartärökologie	DE-21-99
2002	TUUBPA	Universität Tübingen, Philosophisches Seminar	DE-21-46
2002	TUUBRC	Universität Tübingen, Juristisches Seminar	DE-21-24
2002	TUUBRE	Universität Tübingen, Institut für Kriminologie	DE-21-110
2002	TUUBSC	Universität Tübingen, Institut für Erziehungswissenschaft 	DE-21-43
2002	TUUBSF	Universität Tübingen, Institut für Sportwissenschaft	DE-21-37
2002	TUUBSG	Universität Tübingen, Psychologisches Institut	DE-21-51
2002	TUUBSH	Universität Tübingen, Institut für Politikwissenschaft	DE-21-58
2002	TUUBSI	Universität Tübingen, Institut für Soziologie	DE-21-85
2002	TUUBSK	Universität Tübingen, Ludwig-Uhland-Institut für Empirische Kulturwissenschaft	DE-21-52
2002	TUUBTE	Universität Tübingen, Institut für Arbeits- und Sozialmedizin	DE-21-89
2002	TUUBTG	Universität Tübingen, Institut für Gerichtliche Medizin	DE-21-92
2002	TUUBTH	Universität Tübingen, Institut für Ethik und Geschichte der Medizin	DE-21-93
2002	TUUBTI	Universität Tübingen, Institut für Hirnforschung	DE-21-95
2002	TUUBTL	Universität Tübingen, Institut für Medizinische Biometrie	DE-21-78
2002	TUUBTN	Universität Tübingen, Institut für Pathologie	DE-21-23
2002	TUUBTP	Universität Tübingen, Institut für Toxikologie und Pharmakologie	DE-21-3
2002	TUUBTQ	Universität Tübingen, Physiologisches Institut	DE-21-50
2002	TUUBTR	Universität Tübingen, Institut für Tropenmedizin	DE-21-63
2002	TUUBUC	Universität Tübingen, Philologisches Seminar	DE-21-45
2002	TUUBUF	Universität Tübingen, Asien-Orient-Institut, Abteilung für Orient- und Islamwissenschaft	DE-21-42
2002	TUUBUG	Universität Tübingen, Asien-Orient-Institut, Abteilung für Indologie und Vergleichende Religionswissenschaft	DE-21-34
2002	TUUBUH	Universität Tübingen, Asien-Orient-Institut, Abteilung für Sinologie und Koreanistik	DE-21-109
2002	TUUBUI	Universität Tübingen, Asien-Orient-Institut, Abteilung für Japanologie	DE-21-120
2002	TUUBUK	Universität Tübingen, Asien-Orient-Institut, Abteilung für Ethnologie	DE-21-53
2002	TUUBUL	Universität Tübingen, Institut für Ur- und Frühgeschichte und Archäologie des Mittelalters, Abteilung Jüngere Urgeschichte und Frühgeschichte + Abteilung für Archäologie des Mittelalters	DE-21-14
2002	TUUBUM	Universitätsbibliothek Tübingen, Bereichsbibliothek Schloss Nord	DE-21-11
2002	TUUBUN	Universität Tübingen, Kunsthistorisches Institut	DE-21-22
2002	TUUBUO	Universität Tübingen, Musikwissenschaftliches Institut	DE-21-25
2002	TUUBUP	Universität Tübingen, Institut für Religionswissenschaften	DE-21-206
2002	TUUBWA	Universität Tübingen, Wirtschaftswissenschaftliches Seminar	DE-21-19
2002	TUUBYB	Universität Tübingen, Fachbibliothek Mathematik und Physik / Bereich Physik	DE-21-98
2002	TUUBYC	Universität Tübingen, Institut für Astronomie und Astrophysik, Abteilung Astronomie	DE-21-28
2002	TUUBYF	Universität Tübingen, Inst. f. Astronomie u. Astrophysik/Abt. Geschichte d. Naturwiss.	DE-21-81
2002	TUUBYG	Universität Tübingen, Wilhelm-Schickard-Institut für Informatik	DE-21-119
2002	TUUBZB	Universität Tübingen, Zentrum für Datenverarbeitung	DE-21-86
2002	TUUBZC	Universität Tübingen, Universitäts-Apotheke	DE-21-65
2002	TUUBZD	Universität Tübingen, Internationales Zentrum für Ethik in den Wissenschaften	DE-21-121
2002	TUUBZF	Universität Tübingen, Zentrum für Islamische Theologie	DE-21-205
2003	FRUB	Universitätsbibliothek Freiburg	DE-25
2004	FR001	Universität Freiburg, Pathologisches Institut	DE-25-1
2004	FR003A	Universität Freiburg, Mathematisches Institut, Abt. f. Reine Mathematik	DE-25-3a
2004	FR003B	Universität Freiburg, Mathematisches Institut, Abt. f. Angewandte Mathematik	DE-25-3b
2004	FR003D	Universität Freiburg, Mathematisches Institut, Abt. f. Mathematische Logik	DE-25-3d
2004	FR003E	Universität Freiburg, Mathematisches Institut, Abt. f. Mathematische Stochastik	DE-25-3e
2004	FR003F	Universität Freiburg, Mathematisches Institut, Abt. f. Didaktik der Mathematik	DE-25-3f
2004	FR004A	Universität Freiburg, Kristallographisches Institut	DE-25-4a
2004	FR005	Universität Freiburg, Bibliothek Forstwissenschaften	DE-25-5
2004	FR006	Universität Freiburg, Medizinische Universitätsklinik	DE-25-6
2004	FR007	Universität Freiburg, Universitäts-Frauenklinik	DE-25-7
2004	FR008	Universität Freiburg, Institut für Biochemie und Molekularbiologie, Bibliothek	DE-25-8
2004	FR009	Universität Freiburg, Lehrstuhlbibliotheken der Rechtswissenschaftlichen Fakultät	DE-25-9
2004	FR010	Universität Freiburg, Volkswirtschaftl. Seminar	DE-25-10
2004	FR011	Universität Freiburg, Archäologisches Institut	DE-25-11
2004	FR013	Universität Freiburg, Kunstgeschichtliches Institut	DE-25-13
2004	FR014	Universität Freiburg, Musikwissenschaftliches Seminar	DE-25-14
2004	FR015	Universität Freiburg, Bibliothek für Chemie und Pharmazie	DE-25-15
2004	FR016	Universität Freiburg, Fakultätsbibl. Biologie II und III	DE-25-16
2004	FR018	Universität Freiburg, Inst. f. Medinzinische Mikrobiologie u. Hygiene	DE-25-18
2004	FR019	Universität Freiburg, Chirurgische Uni-Klinik	DE-25-19
2004	FR019Z	Universität Freiburg, Anästhesiologische Universitätsklinik	DE-25-19z
2004	FR020	Universität Freiburg, Psychiatrische Uni-Klinik /Abt. für Psychiatrie und Psychotherapie	DE-25-20
2004	FR021	Universität Freiburg, Universitäts-Augenklinik	DE-25-21
2004	FR022	Universität Freiburg, Klinik für Dermatologie und Venerologie, Hautklinik - Bibliothek -	DE-25-22
2004	FR023	Universität Freiburg, Romanisches Seminar	DE-25-23
2004	FR024	Universität Freiburg, Englisches Seminar I u. II	DE-25-24
2004	FR029	Universität Freiburg, Orientalisches Seminar	DE-25-29
2004	FR030A	Universität Freiburg, Institut für Deutsche Sprache u. ältere Literatur	DE-25-30a
2004	FR030B	Universität Freiburg, Institut für Neuere Deutsche Literatur	DE-25-30b
2004	FR030C	Universität Freiburg, Skandinavisches Seminar - Bibliothek -	DE-25-30c
2004	FR030D	Universität Freiburg, Institut für Empirische Kulturwissenschaft, Bibliothek	DE-25-30d
2004	FR030Z	Universität Freiburg, Arbeitsbereich Badisches Wörterbuch	DE-25-30z
2004	FR031A	Universität Freiburg, Seminar f. Alte Geschichte	DE-25-31a
2004	FR031B	Universität Freiburg, Verbundbibl. im KG IV, Hist. Seminar, Abt. Mittlere und Neuere Gesch.	DE-25-31b
2004	FR031Z	Universität Freiburg, Institut für Archäologische Wissenschaften, Abteilung für Provinzialrömische Archäologie	DE-25-31z
2004	FR032	Universität Freiburg, FB Philosophie u. Erziehungswiss.: Philosophie	DE-25-32
2004	FR033	Universität Freiburg, Fakultätsbibliothek Biologie I (Zoologie)	DE-25-33
2004	FR034	Universität Freiburg, Fakultätsbibl. Physik	DE-25-34
2004	FR036	Universität Freiburg, Physiologisches Institut, Bibliothek	DE-25-36
2004	FR038	Universität Freiburg, Institut für Ethik und Geschichte der Medizin	DE-25-38
2004	FR039	Universität Freiburg, Zentrum für Kinder- und Jugendheilkunde	DE-25-39
2004	FR042	Universität Freiburg, Bibliothek Geologie und Mineralogie - Geochemie	DE-25-42
2004	FR043	Universität Freiburg, Medizin-Lesesaal Weismannhaus	DE-25-43
2004	FR046	Universität Freiburg, Universitätsklinik für Zahn-, Mund- u. Kieferheilkunde	DE-25-46
2004	FR048	Landesamt für, Landesamt für Geologie, Rohstoffe und Bergbau Baden-Württemberg	DE-Frei48
2004	FR055	Universität Freiburg, Institut für Forstbotanik und Baumphysiologie /Professur Forstbotanik	DE-25-55
2004	FR055A	Universität Freiburg, Institut für Forstbotanik u. Baumphysiologie / Baumphysiologie	DE-25-55a
2004	FR056	Universität Freiburg, Institut für Forstökonomie /Abt. Forstökonomie u. Forsteinrichtung	DE-25-56
2004	FR057	Universität Freiburg, Institut für Forstpolitik	DE-25-57
2004	FR058	Universität Freiburg, Institut für Waldwachstum, Abt. für Waldwachstum	DE-25-58
2004	FR059	Universität Freiburg, Institut für Forstpolitik, Arbeitsbereich Forstpolitik	DE-25-59
2004	FR060	Universität Freiburg, Institut für Bodenkunde u. Waldernährungslehre	DE-25-60
2004	FR063	Universität Freiburg, Universitätsklinik für Hals-, Nasen- u. Ohrenheilkunde	DE-25-63
2004	FR065	Universität Freiburg, Institut für Kriminologie u. Wirtschaftsstrafrecht	DE-25-65
2004	FR066	Universität Freiburg, Historisches Seminar: Landesgeschichte	DE-25-66
2004	FR066A	Universität Freiburg, Deutsches Seminar I : Geschichtliche Landeskunde	DE-25-66a
2004	FR067	Universität Freiburg, Institut für Sport u. Sportwissenschaft	DE-25-67
2004	FR068	Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg	DE-Frei68
2004	FR071	Universität Freiburg, Neurozentrum	DE-25-71
2004	FR072	Universität Freiburg, Inst. f. Biophysik, AG Hirnforschung	DE-25-72
2004	FR073	Universität Freiburg, Inst. für Experimentelle und Klinische Pharmakologie u. Toxikologie	DE-25-73
2004	FR074	Universität Freiburg, Institut f. Pharmazeutische Wissenschaften	DE-25-74
2004	FR075	Universität Freiburg, Seminar für Klassische Philologie	DE-25-75
2004	FR076	Universität Freiburg, FB Philosophie und Erziehungswiss. - Abt. Erziehungswissenschaft	DE-25-76
2004	FR077	Universität Freiburg, Psychologisches Institut	DE-25-77
2004	FR081	Universität Freiburg, Institut für Rechtsgeschichte u. Geschichtliche Rechtsvergleichung	DE-25-81
2004	FR083	Universität Freiburg, Sprachwissenschaftliches Seminar	DE-25-83
2004	FR086	Universität Freiburg, Institut für Ur- und Frühgeschichte	DE-25-86
2004	FR088	Universität Freiburg, Waldbau-Institut	DE-25-88
2004	FR091	Universität Freiburg, Bibliothek der Technischen Fakultät	DE-25-91
2004	FR095	Chemisches und Veterinäruntersuchungsamt Freiburg	DE-Frei95
2004	FR099	Zentrum für Populäre Kultur und Musik	DE-25-99
2004	FR100	Staatliches Weinbauinstitut Freiburg	DE-Frei100
2004	FR101	Stadtarchiv Freiburg	DE-Frei101
2004	FR102	Universität Freiburg, Institut für Rechtsmedizin	DE-25-102
2004	FR104	Universität Freiburg, Institut für Humangenetik	DE-25-104
2004	FR106	MPI für Immunbiologie	DE-Frei106
2004	FR110	Fraunhofer-Institut für Kurzzeitdynamik	DE-Frei110
2004	FR112	Fraunhofer-Institut für Angewandte Festkörperphysik	DE-Frei112
2004	FR114	Badischer Landesverein für Naturkunde und Naturschutz	DE-Frei114
2004	FR115	Naturmuseum Freiburg	DE-Frei115
2004	FR120	Studienhaus Wiesneck Buchenbach	DE-Frei120
2004	FR122	Universität Freiburg, Institut für Grenzgebiete der Psychologie u. Psychohygiene	DE-25-122
2004	FR123	Augustiner-Museum Freiburg	DE-Frei123
2004	FR124	Universität Freiburg, Slavisches Seminar	DE-25-124
2004	FR127	Alemannisches Institut Freiburg	DE-Frei127
2004	FR128	Stadtbibliothek Freiburg	DE-Frei128
2004	FR131	Institut für Kulturanalyse der Deutschen des östlichen Europa, Freiburg (IVDE)	DE-Frei131
2004	FR132	Kirchengeschichtlicher Verein der Erzdiösese Freiburg	DE-Frei132
2004	FR134Z	Naturmuseum Freiburg, Ethnologische Sammlung	DE-Frei134z
2004	FR137	Universität Freiburg, Seminar für Lateinische Philologie des Mittelalters	DE-25-137
2004	FR139	Universität Freiburg, Professur für Forstliche Biomaterialien - Bibliothek -	DE-25-139
2004	FR141	Landesstelle für Alltags- und Regionalkultur / Außenstelle Südbaden des Badischen Landesmuseums, Bibliothek	DE-Frei141
2004	FR144	Rumänisches Institut - Rumänische Bibliothek e. V. Freiburg	DE-Frei144
2004	FR146	Fraunhofer-Institut für Werkstoffmechanik Freiburg	DE-Frei146
2004	FR147	Centre Culturel Français Freiburg	DE-Frei147
2004	FR150	Intermetall, Halbleiterwerk der Deutschen ITT	DE-Frei150
2004	FR154	Universität Freiburg, Bibliothek der Psychiatrischen Uni-Klinik / Abt. Psychosom. u. Psychotherap. Medizin	DE-25-154
2004	FR156	Universität Freiburg, Fakultätsbibliothek Theologie	DE-25-156
2004	FR158	Fraunhofer-Institut für Physikalische Messtechnik	DE-Frei158
2004	FR161	Informationszentrum Dritte Welt Freiburg	DE-Frei161
2004	FR162	Universität Freiburg, Radiologische Diagnostik und Therapie, Bibliothek	DE-25-162
2004	FR163	Universität Freiburg, Rechenzentrum	DE-25-163
2004	FR165	Universität Freiburg, Professur für Naturschutz und Landschaftsökologie - Bibliothek -	DE-25-165
2004	FR166	Museum für Ur- und Frühgeschichte Freiburg	DE-Frei166
2004	FR168	Universität Freiburg, Patientenbibliothek der Universitätsklinik	DE-25-168
2004	FR169	Universität Freiburg, Zentrum für Anthropologie und Gender Studien	DE-25-169
2004	FR170	Universität Freiburg, Freiburger Institut für Paläowissenschaftliche Studien  F.I.P.S.	DE-25-170
2004	FR171	Universität Freiburg, Klinik für Psychiatrie, Psychotherapie und Psychosomatik im Kindes- und Jugendalter (Department für Psychische Erkrankungen) - Bibliothek -	DE-25-171
2004	FR172	Universität Freiburg, Ethik-Kommission	DE-25-172
2004	FR174	Universität Freiburg, Universitätsklinikum, Akademie für medizinische Berufe	DE-25-174
2004	FR175	Universität Freiburg, Sprachlehrinstitut	DE-25-175
2004	FR177	Universität Freiburg, Service Center Studium - Career Services, Mediathek	DE-25-177
2004	FR179	Universität Freiburg, Universitätsarchiv, Bibliothek	DE-25-179
2004	FR180	Universität Freiburg, University College, Bibliothek	DE-25-180
2004	FR200	Fraunhofer-Institut für Solare Energiesysteme Freiburg	DE-Frei200
2004	FR202	Archiv für soziale Bewegungen in Baden	DE-Frei202
2004	FR204	Deutsche Akademie für Ernährungsmedizin e.V. Freiburg	DE-Frei204
2004	FR205	Walter-Vetter-Archiv Freiburg	DE-Frei205
2004	FR4390	Dokumentationszentrum Nationalsozialismus der Städtischen Museen Freiburg, Bibliothek	DE-4390
2005	SBAL	Landtag des Saarlandes, Landtag des Saarlandes - Archiv	DE-Sa23
2005	SBFH	Hochschule für Technik und Wirtschaft des Saarlandes	DE-Sa16
2005	SBFHBW	Hochschule für Technik und Wirtschaft des Saarlandes - Waldhausweg	DE-Sa16-1
2005	SBLA	Landesarchiv Saarbrücken	DE-479
2005	SBLT	Landtag des Saarlandes	DE-Sa20
2005	SBU102	Universität des Saarlandes, Juristische Seminarbibliothek	DE-291-102
2005	SBU109	Universität des Saarlandes, Wirtschaftswiss. Seminarbibliothek/Abt. VWL	DE-291-109
2005	SBU114	Universität des Saarlandes, Wirtschaftswiss. Seminarbibliothek/Abt. BWL	DE-291-114
2005	SBU187	Universität des Saarlandes, Testothek der Fachrichtung Psychologie	DE-291-187
2005	SBU301	Universität des Saarlandes, Fachrichtung Philosophie	DE-291-301
2005	SBU305	Universität des Saarlandes, Fachrichtung Klassische Philologie	DE-291-305
2005	SBU306	Universität des Saarlandes, Fachrichtung Germanistik	DE-291-306
2005	SBU307	Universität des Saarlandes, Fachrichtung Romanistik	DE-291-307
2005	SBU308	Universität des Saarlandes, Campusbibliothek für Informatik und Mathematik, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Bibliothek Computerlinguistik, Phonetik und Sprachtechnologie	DE-291-308
2005	SBU309	Universität des Saarlandes, Fachrichtung Anglistik, Amerikanistik und Anglophone Kulturen  - Bibliothek	DE-291-309
2005	SBU311	Universität des Saarlandes, Institut für Alte Geschichte	DE-291-311
2005	SBU313	Universität des Saarlandes, Historisches Institut	DE-291-313
2005	SBU314	Universität des Saarlandes, Fachbereichsbibliothek Empirische Humanwissenschaften	DE-291-314
2005	SBU315	Universität des Saarlandes, Fachrichtung Klassische Archäologie	DE-291-315
2005	SBU316	Universität des Saarlandes, Fachrichtung Vor- und Frühgeschichte	DE-291-316
2005	SBU317	Universität des Saarlandes, Fachrichtung Kunstgeschichte	DE-291-317
2005	SBU318	Universität des Saarlandes, Fachrichtung Musikwissenschaft	DE-291-318
2005	SBU336	Universität des Saarlandes, Fachrichtung Orientalistik	DE-291-336
2005	SBU348	Universität des Saarlandes, Fachrichtung Katholische Theologie	DE-291-348
2005	SBU349	Universität des Saarlandes, Fachrichtung Evangelische Theologie	DE-291-349
2005	SBU350	Universität des Saarlandes, Institut für Landeskunde	DE-291-350
2005	SBU355	Universität des Saarlandes, Bibliothek für Österreichische Literatur u. Kultur	DE-291-355
2005	SBU406	Universität des Saarlandes, FR 6.1 Mathematik, Campusbibliothek für Informatik und Mathematik	DE-291-406
2005	SBU407	Universität des Saarlandes, FR 6.2 Informatik, Campusbibliothek für Informatik und Mathematik	DE-291-407
2005	SBU415	Leibniz Institut für Neue Materialien gGmbH an der Universität des Saarlandes	DE-291-415
2005	SBU417	Universität des Saarlandes, Physik und Elektrotechnik	DE-291-417
2005	SBU418	Universität des Saarlandes, FR 6.1 Angewandte Mathematik, Campusbibliothek für Informatik und Mathematik	DE-291-418
2005	SBU424	Universität des Saarlandes, Fachrichtung Pharmazeutische Chemie	DE-291-424
2005	SBU425	Universität des Saarlandes, Fachrichtung Genetik	DE-291-425
2005	SBU439	Universität des Saarlandes, Fachrichtung Pharmazeutische Technologie	DE-291-439
2005	SBU441	Universität des Saarlandes, Fachrichtung Experimentalphysik u. Didaktik d. Physik	DE-291-441
2005	SBU501	Universität des Saarlandes, Fachrichtung Sprachwissenschaft und Sprachtechnologie - Bibliothek Angewandte Sprachwissenschaft	DE-291-501
2005	SBU503	Universität des Saarlandes, Europa-Institut	DE-291-503
2005	SBU819	Frankreichzentrum Saarbrücken	DE-291-819
2005	SBU820	Kontaktstelle für Wissens- und Technologietransfer (KTW) der Universität des Saarlandes; Bibliothek Existenzgründer	DE-291-820
2005	SBUB	Saarländische Universitäts- und Landesbibliothek	DE-291
2005	SBUBME	Saarländische Universitäts- und Landesbibliothek, Medizin. Abteilung, Homburg	DE-291M
2005	SBUBSA	Saarländ. Universitäts- u. Landesbibliothek - Saarländische Bibliographie	DE-291X
2006	DDSU	Sächsische Landesbibliothek - Staats- und Universitätsbibliothek (SLUB)	DE-14
2007	KNUB	Universität Konstanz, Kommunikations-, Informations-, Medienzentrum (KIM)	DE-352
2007	KNUBEB	Universität Konstanz, Kommunikations-, Informations-, Medienzentrum (KIM), Elektronische Bestände	
2008	S1LB	Württembergische Landesbibliothek	DE-24
2009	MAUB	Universität Mannheim, Universitätsbibliothek	DE-180
2010	L1UB	Universitätsbibliothek Leipzig	DE-15
2010	L1UBME	Universität Leipzig, Bibliothek Medizin/Naturwissenschaften	DE-15-292
2011	HDUB	Universitätsbibliothek Heidelberg	DE-16
2012	HDBSAC	Universität Heidelberg, Archäologisches Institut	DE-16-31
2012	HDBSAG	Universität Heidelberg, Seminar für Alte Geschichte und Epigraphik	DE-16-53
2012	HDBSAR	Astronomisches Rechen-Institut, Heidelberg	DE-16-155
2012	HDBSAV	Universitätsarchiv Heidelberg	DE-16-142
2012	HDBSAY	Universität Heidelberg, Ägyptologisches Institut	DE-16-37
2012	HDBSDE	Universität Heidelberg, Germanistisches Seminar	DE-16-29
2012	HDBSDI	Universität Heidelberg, Seminar für Übersetzen und Dolmetschen und Seminar für Deutsch als Fremdsprachenphilologie	DE-16-46
2012	HDBSEN	Universität Heidelberg, Anglistisches Seminar	DE-16-24
2012	HDBSEW	Universität Heidelberg, Bibliothek des Instituts für Bildungswissenschaft	DE-16-66
2012	HDBSFG	Universität Heidelberg, Institut für Ur- und Frühgeschichte und Vorderasiatische Archäologie	DE-16-52
2012	HDBSGE	Universität Heidelberg, Historisches Seminar	DE-16-34
2012	HDBSGG	Universität Heidelberg, Geographisches Institut	DE-16-35
2012	HDBSGO	Universität Heidelberg, Institut für Gerontologie	DE-16-144
2012	HDBSGP	Universität Heidelberg, Institut für Geowissenschaften / Bibliothek des Instituts für Geowissenschaften	DE-16-25
2012	HDBSGR	Universität Heidelberg, Institut für Geschichtliche Rechtswissenschaft	DE-16-47
2012	HDBSGW	Universität Heidelberg, Institut für Deutsches und Europäisches Gesellschafts- und Wirtschaftsrecht	DE-16-118
2012	HDBSIP	Universität Heidelberg, Institut für Ausl. u. Internat. Privat- und Wirtschaftsrecht	DE-16-14
2012	HDBSIR	Universität Heidelberg, Institut für Religionswissenschaft	DE-16-152
2012	HDBSJU	Universität Heidelberg, Bibliothek der Juristischen Fakultät	DE-16-13
2012	HDBSKI	Universität Heidelberg, Kunsthistorisches Inst. / Abt. für Iber. u. Ibero.-Amerikanische Kunst	DE-16-127
2012	HDBSKP	Universität Heidelberg, Seminar für Klassische Philologie	DE-16-33
2012	HDBSKU	Universität Heidelberg, Kunsthistorisches Institut der Universität, Europäische  Abteilung	DE-16-26
2012	HDBSLS	Landessternwarte, Heidelberg	DE-16-154
2012	HDBSMA	Universität Heidelberg, Bibliothek der Fakultät für Mathematik und Informatik	DE-16-7
2012	HDBSMG	Universität Heidelberg, Institut für Geschichte und Ethik der Medizin	DE-16-86
2012	HDBSML	Universität Heidelberg, Seminar für Lateinische Philologie des Mittelalters und der Neuzeit	DE-16-98
